id,title,isbn,page_count,publishing_date,form,publisher,language,author,illustrator,originally_published,genres,subject,awards,nominations,characters,description,sub_title
sIhPEAAAQBAJ,The Bacchae and Other Plays,,360,2005,Paperback,Penguin Publishing Group,English,Euripides,,,"Poetry, Drama","Drama / Ancient & Classical, Literary Collections / Ancient & Classical, Literary Criticism / Drama, Performing Arts / General, Poetry / Ancient & Classical, Bacchantes -- Drama, Iphigenia (Greek mythology) -- Drama, Orestes (Greek mythology) -- Drama, Rhesus (Legendary character) -- Drama",,,,"Through their sheer range, daring innovation, flawed but eloquent characters and intriguing plots, the plays of Euripides have shocked and stimulated audiences since the fifth century BC. Phoenician Women portrays the rival sons of King Oedipus and their mother s doomed attempts at reconciliation, while Orestes shows a son ravaged with guilt after the vengeful murder of his mother. In the Bacchae, a king mistreats a newcomer to his land, little knowing that he is the god Dionysus disguised as a mortal, while in Iphigenia at Aulis, the Greek leaders take the horrific decision to sacrifice a princess to gain favour from the gods in their mission to Troy. Finally, the Rhesus depicts a world of espionage between the warring Greek and Trojan camps.",
gX1G3qlyMK0C,Orestes and Other Plays,"9780192832603, 0192832603",219,2001,Paperback,Oxford University Press,English,"Euripides, James Morwood",,,,"Adrastus (Greek mythology) -- Drama, Greek drama (Tragedy) -- Translations into English, Ion (Greek mythology) -- Drama, Orestes (Greek mythology) -- Drama, Phoenician women (Greek mythology) -- Drama, Seven against Thebes (Greek mythology) -- Drama, Suppliant women (Greek mythology) -- Drama, Theseus (Greek mythology) -- Drama",,,,"IonOrestesThe Phoenician WomenThe Suppliant WomenIn these four plays Euripides explores ethical and political themes,contrasting the claims of patriotism with family loyalty, pragmatism and expediency with justice, and the idea that 'might is right' with the ideal of clemency.Ion is a vivid portrait of the role of chance in human life and an exploration of family relationships, which combines a sympathetic portrait of a rape victim with remarks on Athenian xenophobia. In Orestes, the most popular of the tragedian's plays in the ancient world, Euripides explores theemotional consequences of Orestes' murder of his mother on the individuals concerned, and makes the tale resonate with advice to Athens about the threat to democracy posed by political pressure groups. The Suppliant Women is a...",
km9iAAAAMAAJ,Euripides: Iphigenia at Aulis,"9780715629949, 0715629948",176,"March 9, 2006",Paperback,Bloomsbury Academic,English,Pantelis Michelakis,,"March 9, 2006",,"Foreign Language Study / Ancient Languages, Literary Collections / Ancient & Classical, Literary Criticism / Ancient & Classical, Iphigenia (Greek mythology) -- Drama, Iphigenia -- Drama",,,,"Iphigenia at Aulis is one of Euripides' most intriguing and challenging plays. It dramatises the myth of Iphigenia, the young virgin sacrificed by her father Agamemnon at the start of the expedition against Troy. Produced at the end of the Peloponnesian war, it explores the breakdown of social norms which turns Greeks against Greeks, men against women, and condemns young brides to death. Pantelis Michelakis examines the mythological, socio-political and institutional background, as well as the cultural, political, institutional, and theatrical contexts within which it was originally composed and performed.He highlights the main themes and major issues in modern criticism, and ends with an outline of its performance history and reception.",
lILLzgEACAAJ,Greek tragedies,,,1942,,University of Chicago Press,,"Euripides, Sophocles, Aeschylus",,,,,,,,,
SY9HlKSNwZUC,The Oresteia,"9780195135923, 019513592X",285,2003,Paperback,Oxford University Press,English,Aeschylus,,1928,"Tragedy, Drama","Adultery -- Drama, Agamemnon (Greek mythology) -- Drama, Cannibalism -- Drama, Drama / Ancient & Classical, Drama / European / English, Irish, Scottish, Welsh, Electra (Greek mythology) -- Drama, Greek drama, Incest -- Drama, Orestes (Greek mythology) -- Drama, Revenge -- Drama, Tragedy",,,,"Aeschylus' Oresteia, the only ancient tragic trilogy to survive, is one of the great foundational texts of Western culture. It begins with Agamemnon, which describes Agamemnon's return from the Trojan War and his murder at the hands of his wife Clytemnestra, continues with her murder by their son Orestes in Libation Bearers, and concludes with Orestes' acquittal at a court founded by Athena in Eumenides. The trilogy thus traces the evolution of justice in human society from blood vengeance to the rule of law, Aeschylus' contribution to a Greek legend steeped in murder, adultery, human sacrifice, cannibalism, and endless intrigue. This new translation is faithful to the strangeness of the original Greek and to its enduring human truth, expressed in language remarkable for poetic intensit...",
YrLjngEACAAJ,Oresteia,"9780872203907, 0872203905",166,1998,Paperback,Hackett Publishing,English,Aeschylus,,1928,"Tragedy, Drama","Agamemnon (Greek mythology) -- Drama, Clytemnestra (Greek mythology) -- Drama, Electra (Greek mythology) -- Drama, Erinyes (Greek mythology) -- Drama, Orestes (Greek mythology) -- Drama",,,,"Meineck's translation is faithful and supple; the language employed is modern without betraying the grandeur and complexity--particularly the images--of the Aeschylean text. After reading this translation, one has but one further wish: to see it and hear it at Delphi, Epidaurus or Syracuse. --Herman Van Looy, L'Antiquite Classique",
kYGMEAAAQBAJ,Prometheus Bound and Other Plays,,159,"August 30, 1961",Paperback,Penguin Publishing Group,English,Aeschylus,,,,"Drama / Ancient & Classical, Literary Collections / Ancient & Classical, Literary Criticism / Ancient & Classical, Classical drama, Classical literature, Greek drama (Tragedy) -- Translations into English, Greek literature, Prometheus (Greek mythology) -- Drama, Seven against Thebes (Greek mythology) -- Drama, Greek drama (Tragedy)",,,,"Aeschylus (525–456 BC) brought a new grandeur and epic sweep to the drama of classical Athens, raising it to the status of high art. In Prometheus Bound the defiant Titan Prometheus is brutally punished by Zeus for daring to improve the state of wretchedness and servitude in which mankind is kept. The Suppliants tells the story of the fifty daughters of Danaus who must flee to escape enforced marriages, while Seven Against Thebes shows the inexorable downfall of the last members of the cursed family of Oedipus. And The Persians, the only Greek tragedy to deal with events from recent Athenian history, depicts the aftermath of the defeat of Persia in the battle of Salamis, with a sympathetic portrayal of its disgraced King Xerxes.

Philip Vellacott’s evocative translation is acco...","Prometheus Bound, The Suppliants, Seven Against Thebes, The Persians"
Wk4955xRHPkC,The Oresteia of Aeschylus,"9780374527051, 0374527059",198,"September 4, 2000",Paperback,"Farrar, Straus and Giroux",English,Aeschylus,,,,"Drama / Ancient & Classical, more",,,"Orestes, Aegisthus, Electra, Agamemnon, Pylades, Cassandra, Helen of Troy, Cilissa, Apollo, Clytemnestra, Athena","In the last year of his life, Ted Hughes completed translations of three major dramatic works: Racine's Phedre, Euripedes' Alcestis, and the trilogy of plays known as at The Oresteia, a family story of astonishing power and the background or inspiration for much subsequent drama, fiction, and poetry.

The Oresteia--Agamemnon, Choephori, and the Eumenides--tell the story of the house of Atreus: After King Agamemnon is murdered by his wife, Clytemnestra, their son, Orestes, is commanded by Apollo to avenge the crime by killing his mother, and he returns from exile to do so, bringing on himself the wrath of the Furies and the judgment of the court of Athens.

Hughes's ""acting version"" of the trilogy is faithful to its nature as a dramatic work, and his translation is itself...",A New Translation by Ted Hughes
VOJizgEACAAJ,Complete Greek Tragedies,,368,1942,,University of Chicago Press,English,,,,,,,,,,Volume 1
Q2CfLfseBzsC,"The Oedipus Cycle, an English Version","9780156027649, 015602764X",257,2002,Paperback,"Harcourt, Brace & World",English,Sophocles,,1949,,"Drama / Ancient & Classical, Drama / Shakespeare, Oedipus (Greek mythology), Tragedy, Antigone (Greek mythology) -- Drama, Antigone (Greek mythology) in literature, Oedipus (Greek mythology) -- Drama, Psychoanalysis, SOPHOCLES--TRANSLATIONS INTO ENGLISH., Tragedies",,,,"The critically acclaimed Fitts and Fitzgerald translation of Sophocles' Oedipus Cycle that chronicles the tragic downfall of the royal family of Thebes.

The ancient myth of Oedipus, which still reverberates to this day, provided Sophocles with material for three great tragedies--Oedipus Rex, Oedipus at Colonus, and Antigone--that together recount the downfall of Oedipus, king of Thebes, his death in exile, and the heroic, defiant stand made by his daughter Antigone.

Written for a modern audience, these English translations of Sophocles' trilogy aim to capture the directness, simplicity, and concentrated richness of Sophocles' plays in clear, credible English verse that is both readable and actable.",
pqA4ykE59JoC,Oedipus Rex - Literary Touchstone Edition,"9781580495936, 1580495931",80,2005,Paperback,Prestwick House,English,Sophocles,,,,Tragedy -- Drama,,,"Oedipus, Creon, Antigone, Tiresias, Jocasta","To make Oedipus more accessible for the modern reader, our Prestwick House Literary Touchstone Edition? includes a glossary of the more difficult words, as well as convenient sidebar notes to enlighten the reader on aspects that may be confusing or overlooked. We hope that the reader may, through this edition, more fully enjoy the beauty of the verse, the wisdom of the insights, and the impact of the drama.Sophocles? Oedipus Rex has never been surpassed for the raw and terrible power with which its hero struggles to answer the eternal question, ""Who am I?"" The play, a story of a king who?acting entirely in ignorance?kills his father and marries his mother, unfolds with shattering power; we are helplessly carried along with Oedipus towards the final, horrific truth.This vibrant, new translation invites its readers to lose themselves in the unfolding of this tragic tale?as suspenseful as a detective mystery, yet with an outcome long ago determined by Fate.",
PRg5YAAACAAJ,The Oedipus Plays of Sophocles,"9780451621603, 0451621603",224,1958,Paperback,New American Library,English,Sophocles,,429 BC,"Drama, Tragedy","Antigone (Greek mythology) -- Drama, Oedipus (Greek mythology) -- Drama",,,,,
tONqQgAACAAJ,Sophocles: Oedipus Rex,"9780521617352, 0521617359",214,"July 27, 2006",Paperback,Cambridge University Press,English,Sophocles,,,,"Drama / General, History / Ancient / General, more",,,,"'Sophocles ... created a masterpiece that in the eyes of posterity has overshadowed every other achievement in the field of ancient drama ...' With these words Dr Dawe sets out the importance of Oedipus Rex. He investigates why it has for so long fascinated the human mind, devoting his introduction to an examination of the story and to the technique employed by Sophocles to unfold the plot. In this revised edition he also argues for the spurious nature of the play's ending. As with the first edition, the commentary deals authoritatively with problems of language and expression, but is enhanced by reflections on the text developed in the twenty years since the publication of that first edition. Written for classical scholars and students, this is a welcome revised edition of a bestselling text.",
